Latitude,Longitude,Class,B1,B2,B3,B4,B5,B6
35.5147693572276,-82.6804514604663,0,127,150,550,226,3609,1441
35.7539792870272,-82.5204322997573,0,81,115,426,170,2913,1110
35.7106347084667,-82.3056611655266,0,156,220,538,477,2492,2077
35.512813962706,-82.4138614941527,0,245,280,663,507,2732,1531
35.5206355407921,-82.8531809007429,0,148,181,534,265,3320,1457
35.6190570650421,-82.8078801607458,0,202,289,651,522,3047,2251
35.5542031467449,-82.5047888787511,0,208,250,521,408,2905,1738
35.5603952293964,-82.3007725964622,0,60,91,486,184,3431,1342
35.545729770485,-82.5051147833554,0,122,155,463,219,3385,1264
35.6493656801257,-82.4796942242204,0,207,260,603,441,3205,1801
35.750720296158,-82.8359079567152,0,94,140,561,235,3222,1404
35.5193319444444,-82.3838782705575,0,133,163,433,241,3162,1348
35.7171526902052,-82.4021289283981,0,80,116,452,191,3105,1253
35.6105836887822,-82.3972403593336,0,94,123,452,180,3821,1364
35.5014074946638,-82.3343407707046,0,164,243,490,408,2722,1586
35.6904289650777,-82.6208109178803,0,148,176,524,238,3637,1502
35.4991262010554,-82.8528549961386,0,124,162,585,248,3659,1470
35.4697952832325,-82.8414483349882,0,97,148,497,286,3043,1591
35.6125390833037,-82.8225458679391,0,98,150,443,256,2501,1234
35.4961931092731,-82.5347721023463,0,99,125,411,181,3530,1284
35.5441002750504,-82.8557881375772,0,237,298,643,602,2652,1928
35.6822814879047,-82.6807773650706,0,260,309,666,557,2934,2111
35.5522477522234,-82.6957689768682,0,136,160,510,219,3240,1253
35.5353009997036,-82.3737752278244,0,94,125,544,238,3863,1519
35.6203606613898,-82.3714938955943,0,141,185,503,339,3302,1466
35.6637052399502,-82.3301040108488,0,74,126,466,198,3298,1208
35.5708240001779,-82.4177723494042,0,97,137,505,222,3366,1434
35.5467074677458,-82.7863704568623,0,77,127,493,229,3073,1356
35.5792973764378,-82.3737752278244,0,101,152,497,307,2687,1536
35.7477872043757,-82.445148336165,0,74,122,471,210,2777,1322
35.680977891557,-82.4161428263828,0,198,273,571,596,2401,2222
35.6992282404245,-82.8678466079362,0,163,231,549,473,2402,1785
35.619382964129,-82.8479664270741,0,106,160,499,277,2651,1436
35.7282332591604,-82.8564399467858,0,105,138,487,225,3342,1468
35.4789204576663,-82.7827855062151,0,126,173,585,336,2829,1552
35.6232937531721,-82.4816496518461,0,163,214,496,335,2862,1442
35.6855404787739,-82.8326489106722,0,153,200,561,358,3199,1722
35.7269296628128,-82.6677411808988,0,144,174,476,227,2872,1375
35.5551808440057,-82.3871373166005,0,105,154,548,327,2668,1439
35.7344253418119,-82.7919108351353,0,109,143,492,222,2837,1197
35.7334476445512,-82.6341730066564,0,152,178,526,231,3142,1298
35.7034649285545,-82.385507793579,0,120,176,372,351,2166,1403
35.6653347353848,-82.5100033524198,0,82,116,511,200,3190,1278
35.6907548641646,-82.457206806524,0,113,180,378,360,1556,1250
35.5066218800546,-82.5673625627758,0,126,161,440,221,2796,1244
35.6177534686944,-82.774963795712,0,129,169,628,288,3695,1686
35.5512700549627,-82.5865909344292,0,116,160,486,227,3456,1385
35.668593726254,-82.7736601772948,0,105,143,537,255,3546,1667
35.6760894052532,-82.4989225958738,0,105,157,551,277,3396,1670
35.7119383048144,-82.522387727383,0,89,128,511,213,4061,1588
35.7363807363335,-82.3102238299868,0,209,265,425,428,1808,922
35.5017333937507,-82.7563872332671,0,86,108,395,154,3299,1233
35.4867420357524,-82.4686134676743,0,116,140,491,220,3092,1223
35.5763642846555,-82.8336266244851,0,156,199,613,321,3761,1825
35.4971708065339,-82.5452010496837,0,107,147,484,222,3588,1392
35.5926592390015,-82.8684984171447,0,158,218,525,403,2382,1663
35.6578390563856,-82.4311344381804,0,86,130,460,221,2677,1209
35.6141685787383,-82.6791478420491,0,124,149,462,200,3501,1305
35.5356268987905,-82.3551986653795,0,143,179,559,323,3893,1707
35.4873938339262,-82.7981030226169,0,192,257,615,433,3361,2004
35.6532764691687,-82.7847409338408,0,124,174,536,290,3177,1695
35.7210634792482,-82.3542209515666,0,1397,1484,1713,1743,2645,534
35.5268276234436,-82.7071756380185,0,271,355,791,656,3539,2663
35.6584908545595,-82.6090783521256,0,232,285,588,410,2196,1177
35.6268786431282,-82.3056611655266,0,175,203,500,344,2987,1396
35.4994521001423,-82.3349925799132,0,157,235,479,384,2508,1542
