,x,y,error
0,0.0,-1.5436209437344988,5.05
1,0.7142857142857143,13.432916677960808,6.709183673469388
2,1.4285714285714286,45.89572620680016,11.34387755102041
3,2.142857142857143,158.16068886871972,18.95408163265306
4,2.857142857142857,212.87264609786016,29.539795918367357
5,3.5714285714285716,329.9334895359132,43.10102040816327
6,4.285714285714286,534.1130526818873,59.63775510204082
7,5.0,859.1286423041538,79.15
8,5.714285714285714,990.4368610174865,101.63775510204084
9,6.428571428571429,1090.8860681182641,127.10102040816327
10,7.142857142857143,1394.499142347062,155.5397959183674
11,7.857142857142858,1936.4329147709418,186.9540816326531
12,8.571428571428571,2127.9101253036547,221.3438775510204
13,9.285714285714286,2338.1868121651173,258.7091836734695
14,10.0,2871.7093125027823,299.05
