time height error
0.1 -21.029898158340785 10
0.6210526315789474 18.303498973794188 10
1.142105263157895 0.5294035398415815 10
1.6631578947368424 -62.56846460849658 10
2.18421052631579 -106.63070860776942 10
2.7052631578947373 -245.20293652438113 10
3.2263157894736847 -358.6823040236615 10
3.747368421052632 -516.6419216027515 10
4.268421052631579 -682.2220693522604 10
4.7894736842105265 -892.7856366777286 10
5.310526315789474 -1143.008697488183 10
5.831578947368421 -1405.0050784050866 10
6.352631578947369 -1709.0426774208997 10
6.873684210526316 -2038.5004854578629 10
7.394736842105264 -2367.8489275874445 10
7.915789473684211 -2735.633186209238 10
8.436842105263159 -3124.870223386629 10
8.957894736842105 -3552.275370487225 10
9.478947368421053 -4022.448060417848 10
10.0 -4503.023027505753 10
