time height error
0.1 22.59152345967664 10
0.6210526315789474 33.16424244378304 10
1.142105263157895 60.50106128150062 10
1.6631578947368424 92.01296523301181 10
2.18421052631579 104.50930566327254 10
2.7052631578947373 89.62998020400596 10
3.2263157894736847 119.81201713924483 10
3.747368421052632 117.0452755624524 10
4.268421052631579 123.11371452915583 10
4.7894736842105265 131.17828418835876 10
5.310526315789474 128.77847172268912 10
5.831578947368421 139.48584864303695 10
6.352631578947369 127.49790910742558 10
6.873684210526316 113.38804102365405 10
7.394736842105264 106.2330229091717 10
7.915789473684211 92.09357429867337 10
8.436842105263159 87.99940291994166 10
8.957894736842105 52.64815143436417 10
9.478947368421053 36.810873692409174 10
10.0 1.4590426069826954 10
