,x,y,error
0,0.0,11.890299485509173,5.25
1,0.7142857142857143,5.8353277002391435,5.35
2,1.4285714285714286,6.4682679821455915,5.5928571428571425
3,2.142857142857143,-1.3553099479719926,5.978571428571429
4,2.857142857142857,13.266423910781302,6.507142857142857
5,3.5714285714285716,19.239051613104774,7.178571428571429
6,4.285714285714286,29.267230587293767,7.992857142857143
7,5.0,33.888343942426566,8.95
8,5.714285714285714,50.05962740179192,10.05
9,6.428571428571429,57.5394163857259,11.292857142857144
10,7.142857142857143,60.12778616272314,12.67857142857143
11,7.857142857142858,104.63938510581197,14.207142857142859
12,8.571428571428571,122.77978577019528,15.878571428571428
13,9.285714285714286,157.1758034190597,17.692857142857143
14,10.0,147.4831610687753,19.65
